#Paramater_name	Value	Comments
##Files
rdcov_input_tsv	example/test_rdcov_input.tsv	#sample_name:coverage_file pairs input TSV file
vcf_input_tsv	example/test_vcf_input.tsv	#sample_name:vcf_file pairs input TSV file
output_dir	example/test_output	#All output files will be placed in this directory, overwriting existing files
windows_bed	example/test_windows.bed	#Path to window definitions BED file
targets_bed	example/test_targets.bed	#Path to target regions BED file
chr_boundaries_bed	example/test_chr_boundaries.bed	#Path to pre-computed chromosomal boundary definitions BED file
roh_afs_gz	example/test_roh.afs.gz	#Path to SNP allele frequencies file formatted for BCFtools/RoH --AF-file parameter (see bcftools manual)
qc_metadata	example/test_qcmetrics.tsv	#Meta-data for samples, including QC metrics and reported gender
karyo_gender	example/test_karyogenders.txt	#KaryoScan gender assignments file

##Parameters
ad_flag	AD	#Allele depth VCF flag (required)
dp_flag	DP	#Total depth VCF flag (required)
rd_gc_min	0.45	#Minimum window GC content for read depth (RD) calculations
rd_gc_max	0.55	#Maximum "
rd_mappability	0.95	#Minimum window mappability for RD calculations
ab_mappability	0.9	#Minimum window mappability for inclusion in allele balance (AB) analysis
homAB_threshold	0.02	#Minimum lesser allele balance to consider as homozygous SNP (anything above this threshold is considered a putative het)
bcftools_view_args	-i 'QD > 5 && DP >= 20' -M2 -v snps -f 'PASS'	#Command line arguments for bcftools view query/filter string
bcftools_roh_args	-G30 -I -a 6.6e-09 -H 5e-10	#Command line arguments for bcftools roh 
chrY_dup_factor	1.5	#chrY duplications are naively assigned to male samples having gamma_chrY >= chrY_dup_factor*median(gamma_chrY for all male samples)
chromab_rd_covar	PCTTARGETBASES50X	#Sample read depth QC metric to use for chromosome-wide allele balance regression covariate
make_plots	TRUE	# TRUE/FALSE, flag for whether or not to create diagnostic plots (read depth and allele balance plots)

##Environment (if any of these are in your system PATH, use the parent directory from `which`:
# e.g. `which bedtools` -> /usr/local/bin/bedtools2/bin/bedtools -> bedtools_dir=/usr/local/bin/bedtools2/bin
bcftools_dir	/usr/local/bin/bcftools-1.3	#Path to bcftools executable parent directory (requires BCFtools/RoH)
bedtools_dir	/usr/local/bin/bedtools2/bin	# Path to bedtools executable parent directory
datamash_dir	/usr/local/bin	# Path to datamash executable parent directory
